grged,10,2016-05-23
bio,1,2016-05-23
bio,2,2016-05-23
ak,16,2016-05-23
grged,11,2016-05-24
grged,12,2016-05-24
bio,3,2016-05-24
gs,1,2016-05-24
ak,2,2016-05-24
grged,13,2016-05-25
bio,8,2016-05-25
bio,9,2016-05-25
ak,3,2016-05-25
grged,14,2016-05-27
grged,15,2016-05-27
bio,5,2016-05-27
gs,9,2016-05-27
ak,8,2016-05-27
grged,16,2016-05-28
bio,4,2016-05-28
bio,6,2016-05-28
ak,5,2016-05-28
grbld,1,2016-05-30
grbld,2,2016-05-30
bio,10,2016-05-30
gs,6,2016-05-30
ak,4,2016-05-30
grbld,3,2016-05-31
bio,11,2016-05-31
bio,12,2016-05-31
ak,10,2016-05-31
grbld,8,2016-06-01
grbld,9,2016-06-01
bio,13,2016-06-01
gs,12,2016-06-01
ak,11,2016-06-01
grbld,5,2016-06-02
bio,14,2016-06-02
bio,15,2016-06-02
ak,13,2016-06-02
grbld,4,2016-06-03
grbld,6,2016-06-03
bio,16,2016-06-03
gs,15,2016-06-03
ak,14,2016-06-03
grbld,10,2016-06-06
bio,1,2016-06-06
bio,2,2016-06-06
gs,16,2016-06-06
grbld,11,2016-06-07
grbld,12,2016-06-07
bio,3,2016-06-07
gs,2,2016-06-07
ak,1,2016-06-07
grbld,13,2016-06-08
bio,8,2016-06-08
bio,9,2016-06-08
gs,3,2016-06-08
grbld,14,2016-06-09
grbld,15,2016-06-09
bio,5,2016-06-09
gs,8,2016-06-09
ak,9,2016-06-09
grbld,16,2016-06-10
bio,4,2016-06-10
bio,6,2016-06-10
gs,5,2016-06-10
grged,1,2016-06-13
grged,2,2016-06-13
bio,10,2016-06-13
gs,4,2016-06-13
ak,6,2016-06-13
grged,3,2016-06-14
bio,11,2016-06-14
bio,12,2016-06-14
gs,10,2016-06-14
grged,8,2016-06-15
grged,9,2016-06-15
bio,13,2016-06-15
gs,11,2016-06-15
ak,12,2016-06-15
grged,5,2016-06-16
bio,14,2016-06-16
bio,15,2016-06-16
gs,13,2016-06-16
grged,4,2016-06-17
grged,6,2016-06-17
bio,16,2016-06-17
gs,14,2016-06-17
ak,15,2016-06-17
grged,10,2016-06-20
bio,1,2016-06-20
bio,2,2016-06-20
ak,16,2016-06-20
grged,11,2016-06-21
grged,12,2016-06-21
bio,3,2016-06-21
gs,1,2016-06-21
ak,2,2016-06-21
grged,13,2016-06-22
bio,8,2016-06-22
bio,9,2016-06-22
ak,3,2016-06-22
grged,14,2016-06-23
grged,15,2016-06-23
bio,5,2016-06-23
gs,9,2016-06-23
ak,8,2016-06-23
grged,16,2016-06-24
bio,4,2016-06-24
bio,6,2016-06-24
ak,5,2016-06-24
grbld,1,2016-06-27
grbld,2,2016-06-27
bio,10,2016-06-27
gs,6,2016-06-27
ak,4,2016-06-27
grbld,3,2016-06-28
bio,11,2016-06-28
bio,12,2016-06-28
ak,10,2016-06-28
grbld,8,2016-06-29
grbld,9,2016-06-29
bio,13,2016-06-29
gs,12,2016-06-29
ak,11,2016-06-29
grbld,5,2016-06-30
bio,14,2016-06-30
bio,15,2016-06-30
ak,13,2016-06-30
